Nombre_bottom,Cantidad_Imágenes,Imagen1,Imagen2,Imagen3,Imagen4
STARGAZER SUBLIME,4,"https://res.cloudinary.com/maaji/image/upload/v1528404253/Spring2018/3007SAC06_3007SBC06_3007SCC06_3007SDC06_blue_1.jpg



",https://res.cloudinary.com/maaji/image/upload/v1528404253/Spring2018/3007SAC06_3007SBC06_3007SCC06_3007SDC06_blue_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1528404254/Spring2018/3007SAC06_3007SBC06_3007SCC06_3007SDC06_blue_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1528404255/Spring2018/3007SAC06_3007SBC06_3007SCC06_3007SDC06_blue_6.jpg
SURFER SCORPION,2,"https://res.cloudinary.com/maaji/image/upload/v1527607636/Summer2018/2187SSF01_orange_1.jpg
",https://res.cloudinary.com/maaji/image/upload/v1527607638/Summer2018/2187SSF01_orange_2.jpg,,
BLUE CACIQUE,4,"https://res.cloudinary.com/maaji/image/upload/v1527180019/Summer2018/2041SBC08_2041SCC08_blue_1.jpg



",https://res.cloudinary.com/maaji/image/upload/v1527180023/Summer2018/2041SBC08_2041SCC08_blue_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1527180027/Summer2018/2041SBC08_2041SCC08_blue_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1527180032/Summer2018/2041SBC08_2041SCC08_blue_6.jpg
BREAKFAST CLUB,2,"https://res.cloudinary.com/maaji/image/upload/v1528464112/HigSummer2018/2130SBC02_2130SCC02_blue_1.jpg
",https://res.cloudinary.com/maaji/image/upload/v1528464113/HigSummer2018/2130SBC02_2130SCC02_blue_2.jpg,,
BRISTLE GARDENS,2,"https://res.cloudinary.com/maaji/image/upload/v1528396788/Spring2018/2116SBC01_2116SDC01_purple_1.jpg
",https://res.cloudinary.com/maaji/image/upload/v1528396789/Spring2018/2116SBC01_2116SDC01_purple_2.jpg,,
BUMPY ROADS,2,"https://res.cloudinary.com/maaji/image/upload/v1527189480/Summer2018/2050SBC01_2050SDC01_black_1.jpg

",https://res.cloudinary.com/maaji/image/upload/v1527189486/Summer2018/2050SBC01_2050SDC01_black_2.jpg,,
STARGAZER ORNATE,4,https://res.cloudinary.com/maaji/image/upload/v1528418716/Spring2018/3052SBC01_3052SDC01_blue_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1528418717/Spring2018/3052SBC01_3052SDC01_blue_2.jpg,https://res.cloudinary.com/maaji/image/upload/v1528418718/Spring2018/3052SBC01_3052SDC01_blue_5.jpg,https://res.cloudinary.com/maaji/image/upload/v1528418719/Spring2018/3052SBC01_3052SDC01_blue_6.jpg
CAPE LA VELA,2,https://res.cloudinary.com/maaji/image/upload/v1527258362/Summer2018/2166SOR01_2166SOH01_pink_3.jpg,https://res.cloudinary.com/maaji/image/upload/v1527258366/Summer2018/2166SOR01_2166SOH01_pink_4.jpg,,
CINNAMON ATTILA,2,https://res.cloudinary.com/maaji/image/upload/v1528395826/Spring2018/2114SBC01_2114SCC01_purple_1.jpg,https://res.cloudinary.com/maaji/image/upload/v1528395827/Spring2018/2114SBC01_2114SCC01_purple_2.jpg,,
STARGAZER HEAVENLY,2,"https://res.cloudinary.com/maaji/image/upload/v1528417897/Spring2018/3050SOH01_3050SOR01_blue_3.jpg

",https://res.cloudinary.com/maaji/image/upload/v1528417898/Spring2018/3050SOH01_3050SOR01_blue_4.jpg,,
